"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2023-01","Private room in cottage - private_room","14","27.10","791.50"
"2023-02","Private room in cottage - private_room","6","12.90","417.50"
"2023-03","Private room in cottage - private_room","33","75.15","1968.00"
"2023-04","Private room in cottage - private_room","34","56.60","1423.33"
"2023-05","Private room in cottage - private_room","59","80.13","1938.33"
"2023-06","Private room in cottage - private_room","65","90.60","2131.67"
"2023-07","Private room in cottage - private_room","64","81.38","1816.75"
"2023-08","Private room in cottage - private_room","87","73.82","1752.00"
"2023-09","Private room in cottage - private_room","119","88.00","1866.00"
"2023-10","Private room in cottage - private_room","97","76.18","1477.60"
"2022-11","Private room in guest suite - private_room","54","62.62","846.20"
"2022-12","Private room in guest suite - private_room","59","51.46","1139.60"
"2023-01","Private room in guest suite - private_room","61","72.52","1433.60"
"2023-02","Private room in guest suite - private_room","61","94.20","3016.33"
"2023-03","Private room in guest suite - private_room","65","85.27","2933.33"
"2023-04","Private room in guest suite - private_room","64","93.90","3410.00"
"2023-05","Private room in guest suite - private_room","71","83.23","2211.00"
"2023-06","Private room in guest suite - private_room","71","85.60","1165.80"
"2023-07","Private room in guest suite - private_room","89","91.50","4282.00"
"2023-08","Private room in guest suite - private_room","134","86.70","2938.83"
"2023-09","Private room in guest suite - private_room","96","74.40","2142.40"
"2023-10","Private room in guest suite - private_room","91","59.12","1212.00"
"2022-11","Private room in guesthouse - private_room","153","47.79","820.12"
"2022-12","Private room in guesthouse - private_room","270","67.76","1283.19"
"2023-01","Private room in guesthouse - private_room","147","36.56","631.52"
"2023-02","Private room in guesthouse - private_room","301","72.57","1238.83"
"2023-03","Private room in guesthouse - private_room","282","60.87","1149.12"
"2023-04","Private room in guesthouse - private_room","386","67.77","1487.55"
"2023-05","Private room in guesthouse - private_room","421","65.87","1908.24"
"2023-06","Private room in guesthouse - private_room","446","63.53","1604.00"
"2023-07","Private room in guesthouse - private_room","540","73.10","2459.85"
"2023-08","Private room in guesthouse - private_room","503","58.46","2166.51"
"2023-09","Private room in guesthouse - private_room","646","85.42","2707.53"
"2023-10","Private room in guesthouse - private_room","521","67.40","1923.55"
"2022-11","Private room in home - private_room","1380","53.62","595.73"
"2022-12","Private room in home - private_room","1483","65.10","724.25"
"2023-01","Private room in home - private_room","1009","44.54","431.46"
"2023-02","Private room in home - private_room","1449","55.27","566.80"
"2023-03","Private room in home - private_room","2048","55.06","719.15"
"2023-04","Private room in home - private_room","2380","66.28","978.44"
"2023-05","Private room in home - private_room","2354","61.96","924.58"
"2023-06","Private room in home - private_room","3003","67.50","1020.64"
"2023-07","Private room in home - private_room","3820","75.59","1302.05"
"2023-08","Private room in home - private_room","4934","75.99","1266.87"
"2023-09","Private room in home - private_room","4633","73.83","1324.95"
"2023-10","Private room in home - private_room","3082","52.54","964.83"
"2022-11","Private room in house - private_room","5","22.20","1580.00"
"2023-01","Private room in house - private_room","1","30.00","20.00"
"2023-06","Private room in house - private_room","5","25.00","127.50"
"2023-07","Private room in house - private_room","4","17.80","256.00"
"2023-08","Private room in house - private_room","6","62.00","170.00"
"2023-09","Private room in house - private_room","28","50.00","350.00"
"2022-12","Private room in lighthouse - private_room","1","40.00","108.00"
"2023-01","Private room in lighthouse - private_room","0","0.00","0.00"
"2022-11","Private room in loft - private_room","50","57.95","775.17"
"2022-12","Private room in loft - private_room","53","57.66","1046.00"
"2023-01","Private room in loft - private_room","58","71.60","968.40"
"2023-02","Private room in loft - private_room","47","55.70","1169.25"
"2023-03","Private room in loft - private_room","66","59.38","1462.40"
"2023-04","Private room in loft - private_room","59","67.86","1272.40"
"2023-05","Private room in loft - private_room","55","61.72","1133.20"
"2023-06","Private room in loft - private_room","60","76.78","1455.75"
